id,name,value,group_id,product_id
c787d334-e829-4d53-8590-af46e54244c8,"Вбудована пам'ять",256 Gb,3660d90c-cef8-4221-8b18-44e3cd37243a,2c7abaed-52c5-4210-bc52-8ee361afefa4
ca2b9576-d027-4d57-bfcc-df8451dcf272,Модель,iPhone 16 Pro Max 256GB Black Titanium,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
d227c6b9-dc55-47e9-b36a-619aa25d7df8,Навігація,"BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS",b8bfe417-4f85-452d-b4c5-5e59f5f40505,2c7abaed-52c5-4210-bc52-8ee361afefa4
d32b88f7-309d-4a3a-b561-b86bac5ff395,Інтерфейси і підключення,USB Type-C,89f25c60-8a74-4c03-939d-c6fade52916b,2c7abaed-52c5-4210-bc52-8ee361afefa4
dc7664e5-5112-4269-bc24-7a7c4cefb9af,Безпека,FaceID,63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
def40c4f-ed42-4eab-a367-95675f62e4d7,Оснащення,"пило/вологозахист, гіроскоп, бездротове заряджання",63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
e04ab569-3307-4ad9-92e4-c4cd862a20c2,Основна камера,48 + 48 + 12 Mpx,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
efe8f2c3-69ae-4089-ab72-2954fb39d98c,Бездротові підключення,"Bluetooth, WI-FI, NFC",b8bfe417-4f85-452d-b4c5-5e59f5f40505,2c7abaed-52c5-4210-bc52-8ee361afefa4
f13ac71e-84f8-4e08-b7fc-dbdce8ee062f,Роздільна здатність екрану,1320 х 2868,01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
f238de9a-96f3-45b8-8ea4-a6299431281b,Мультимедіа,"ігри, FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр",e685fe4f-525c-4798-8f20-0cd9c51d2ed8,2c7abaed-52c5-4210-bc52-8ee361afefa4
fd089924-e6f2-465a-9de1-4548fc031c98,Органайзер,"календар, телефонна книга, диктофон, секундомір, калькулятор, будильник, світовий час, нотатки, годинник",e685fe4f-525c-4798-8f20-0cd9c51d2ed8,2c7abaed-52c5-4210-bc52-8ee361afefa4
feaf8531-17a0-465b-b788-0a5921253986,Частота оновлення екрану,120 Гц,01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
